question,a,b,c,d,e,f,g,h,i,j,key,chat,answer
64. a 56yo man comes with hx of right sided weakness & left sided visual loss. where is the occlusion?,a. ant meningeal artery,b. mid meningeal artery,c. mid cerebral artery,d. carotid artery,e. ant cerebral artery,f. ant communicating artery,,,,,key: 1. the key is d. carotid artery. [carotid artery divides to internal and external carotid of which internal continues as middle cerebral ultimately. but just before it becomes middle cerebral internal carotid gives rise to ophthalmic branch. so middle cerebral occlusion may give partial visual loss but not complete mono-ocular blindness. for complete mono-ocular blindness occlusion should be proximal to ophthalmic artery i.e. either in internal carotid or more proximally to carotid artery]. key: 2. i)	middle cerebral artery occlusion: paralysis or weakness of contralateral face and arm (faciobracheal). sensory loss of the contralatera face and arm. ii)	anterior cerebral artery occlusion: paralysis or weakness of the contralateral foot and leg. sensory loss at the contralateral foot and leg.,,
"65. a young college student is found in his dorm unconscious. he has tachyarrhythmia and high fever. he also seems to be bleeding from his nose, which on examination shows a perforated nasal septum. what is the most likely dx?",a. marijuana od,b. cocaine od,c. heroin od,d. alcohol od,e. co poisoning,,,,,,"key: 1. key is b. cocaine overdose. key: 2. points in favour: i) tachyrhythmia ii) high fever iii) perforated nasal septum iv) unconsciousness key: 3. other findings of cocaine toxicity: i) psychiatric: anxiety, paranoia ii) tachypnoea iii) increased energy and talking rapidly iv) dilated pupils. also: [rhabdomyolysis, metabolic acidosis, convulsion].",,
"66. a 56yo pt whose pain was relieved by oral morphine, now presents with progressively worsening pain relieved by increasing the dose of oral morphine. however, the pt complains that the increased morphine makes him drowsy and his is unable to carry out his daily activities. what is the next step in his management?",a. oral oxycodone,b. oral tramadol,c. pca,d. iv fentanyl,e. diamorphine,,,,,,key: the key is oral oxycodon.,,
67. a 30yo man presents with a 5cm neck mass anterior to the sternocleido-mastoid muscle on the left side in its upper third. he states that the swelling has been treated with antibiotics for infection in the past. what’s the most likely cause?,a. branchial cyst,b. parotitis,c. pharyngeal pouch,d. thyroglossal cyst,e. thyroid swelling,,,,,,key: 1. the key is a. branchial cyst. key: 2. i) branchial cyst is anterior triangular lump. [parotid is also anterior triangular lump but parotitis regresses with appropriate treatment i.e. becomes normal in size]. ii) pharyngeal pouch is posterior triangular lump. iii) thyroglossal is midline lump. iv) thyroid swelling moves with swallowing].,,
"68. an 18yo man is rushed into the er by his friends who left him immediately before they could be interviewed by staff. he is semiconscious, rr=8/min, bp=120/70mmhg, pulse=60bpm. he is noted to have needle track marks on his arms and his pupils are small. what is the single best initial tx?",a. insulin,b. naloxone,c. methadone,d. gastric lavage,,,,,,,key: 1. the key is b. naloxone. key: 2. the diagnosis is opiate overdose. key: 3. points in favour are: i) reduced consciousness ii) rr 8/min (12<) iii) hypotension (here lower normal) iv) miosis v) needle track marks on his arms.,,
"69. a 30yo man and wife present to the reproductive endocrine clinic because of infertility. the man is tall, has bilateral gynecomastia. examination of the testes reveals bilateral small, firm testes. which of the following inv is most helpful in dx?",a. ct of pituitary,b. chromosomal analysis,c. measure of serum gonadotropins,d. measure of serum testosterone,,,,,,,key: 1. the key is b. chromosomal analysis.key: 2. the diagnosis is klinefelter’s syndrome. (xxy)key: 3. the points in favour are: i) infertility ii) tall stature iii) bilateral gynaecomastia iv) bilateral small firm testes.,,
"70. an 18yo female just received her a-level results and she didn’t get into the university of her choice. she was brought into the ed after ingestion of 24 paracetamol tablets. exam: confused and tired. initial management has been done. inv after 24h: normal cbc, abg = ph7.1, pt=17s, bilirubin=4umol/l, creatinine=83umol/l. what is the next step in management?",a. observation for another 24h,b. refer to psychologist,c. give n-acetylcysteine,d. discharge with psychiatry referral,e. liver transplantation,,,,,,"key: 1. the key is e. liver transplantation. key: 2. king's college hospital criteria for liver transplantation in paracetamol-induced acute liver failure. arterial ph <7.3 or arterial lactate >3.0 mmol/l after adequate fluid resuscitation, or if all three of the following occur in a 24-hour period: creatinine >300 μmol/l. pt >100 seconds (inr >6.5). grade iii/iv encephalopathy.",,
"71. a 75yo alcoholic presents with a mass up to umbilicus, urinary dribbling, incontinence, and clothes smelling of ammonia. what is the next step in management?",a. urethral catheter,b. suprapubic catheter,c. antibiotics,d. condom catheter,e. nephrostomy,,,,,,key: 1. the key is a. urethral catheter. key: 2. alcohol consumption [alcoholism can cause urinary retention but it is a less common cause of retention].,,
"72. in crf, main cause of vit d deficiency is the failure of:",a. vit d absorption in intestines,b. 25 alpha hydroxylation of vit d,c. excess vit d loss in urine,d. 1 alpha hydroxylation of vit d,e. availability of vit d precursors,,,,,,"key: the key is d. 1 alpha hydroxylation of vit d. [there are 3 steps in the synthesis of vitamin d. i) cholecalciferol in the skin from 7-dehydrocholesterol under the action of ultraviolet light. ii) hydroxylation in the liver of cholecalciferol to 25-hydroxycholecalciferol. iii) hydroxylation in the kidneys (1 alpha hydroxylation by enzyme 1-alphahydroxylase) of 25-hydroxycholecalciferol to calcitriol (1,25-dihydroxyvitamin d3)].",,
73. pt with puffiness of face and rash showing cotton wool spots on fundoscopy. what’s the dx?,a. macular degeneration,b. hypertensive retinopathy,c. diabetic background,d. proliferative diabetic retinopathy,e. sle,,,,,,"key: 1. the key is sle. key: 2. puffiness is due to lupus nephritis. key: 3. sle, can involve the retina. the classic lesion of sle is a white fluffy appearing lesion within the retina known as a cotton wool spot. the most common ocular manifestation in sle is keratoconjunctivits sicca.",,
74. a 35yo man presents with progressive breathlessness. he gave a hx of polyarthralgia with painful lesions on the shin. cxr: bilateral hilar lymphadenopathy. what’s the most likely dx?,a. bronchial asthma,b. cystic fibrosis,c. sarcoidosis,d. bronchiectasis,e. pneumonia,,,,,,key: 1. the key is c. sarcoidosis. key: 2. lofgren syndrome. the triad is i) erythema nodosum ii) bilateral hilar lymphadenopathy iii) arthralgia.,,
"75. a child presents with clean wound, but he has never been immunized as his parents were worried about it. there is no contraindication to immunization, what is the best management?",a. full course of dtp,b. 1 single injection dt,c. 1 single injection dtp,d. only ig,e. antibiotic,,,,,,key: the key is a. full course of dtp.,,
76. a 65yo htn man presents with lower abdominal pain and back pain. an expansive abdominal mass is palpated lateral and superior to the umbilicus. what is the single most discriminating inv?,a. laparascopy,b. kub xr,c. pelvic us,d. rectal exam,e. abdominal us,,,,,,key: 1. the key is e. abdominal us. key: 2. the diagnosis is abdominal aortic aneurism. key: 3. points in favour of aaa are i) hypertension ii) abdominal pain iii) back pain iv) expansile abdominal mass lateral and superior to the umbilicus.,,
77. a 55yo man has had severe pain in the right hypochondrium for 24h. the pain comes in waves and is accompanied by nausea. nothing seems to relieve the pain. he feels hot and sweaty but has normal temp. what is the most appropriate next inv?,a. us abdomen,b. ercp,c. mrcp,d. serum amylase,e. ugi endoscopy,,,,,,"key: 1. the key is a. us abdomen. key: 2. the diagnosis is biliary colic. key: 3. points in favour- i) severe right hypochondrial pain. ii) colicky nature of the pain (comes in waves) iii) nausea iv) absence of fever iv) absence of jaundice. [ohcm, 9th edition, page-637].",,
78. a 67yo man has deteriorating vision in his left eye. he has longstanding copd and is on multiple drug therapy. what single medication is likely to cause this visual deterioration?,a. b2 agonist,b. corticosteroid,c. diuretic,d. theophylline,,,,,,,key: 1. the key is b. corticosteroid. key: 2. prolonged corticostiroids [also topical i.e. eye drop] can cause cataract.,,
79. a woman who returned from abroad after 3 weeks of holiday complains of severe diarrhea of 3 weeks. she also developed ida and folic acid def. what condition best describes her situation?,a. jejunal villous atrophy,b. chronic diarrhea secretions,c. malabsorption,d. increased catabolism,e. increased secretions of acid,,,,,,key: the key is c. malabsorption.,,
