,question,a,b,c,d,e,f,g,k,l,m,answer,h,i,j,chatgpt
223,"224. a child is brought in with high grade fever, runny nose and bark-like cough. he is also drooling. what is the most appropriate tx for this child? ",a. corticosteroids,b. paracetamol,c. adrenaline nebulizer,d. IV antibiotics,e. intubation under ga,,,,,,"ans. the key is e. intubation under ga. this is a wrong key! in epiglottitis there is no cough and bark like cough is diagnostic of croup! so the correct key should be a. corticosteroids. [high fever, bark-like cough in a child suggest croup which is treated with corticosteroids. drooling is sign ofepigottitis which may be a bad recall here]. 225. a 78yo lady on warfarin for atrial fibrillation lives in a care home. she presents with hx of ",,,,
224,225. a 78yo lady on warfarin for atrial fibrillation lives in a care home. she presents with hx of progressive confusion for three days. she was also noticed to have bruises on her arms. inr = 7. what is the most probable dx? ,a. alzheimers,b. delirium,c. subdural hemorrhage,d. Vascular dementia,e. pick’s dementia,,,,,,"ans. the key is c. subdural haemorrhage. [age 78 yrs, living in a care home where unnoticed trivial injury is possible (like fall), warfarine and high inr is potential risk factor of subdural haemorrhage suggested by bruises on arms also]. 226. a 28 yo drug user presents to the ed with collapse and anuria. his serum k+ = 7.5mmol/l. cxr = ",,,,
225,226. a 28 yo drug user presents to the ed with collapse and anuria. his serum k+ = 7.5mmol/l. cxr = early pulmonary edema. what is the next appropriate management? ,a. urgent hemodialysis,b. iv calcium gluconate,c. iv insulin + dextrose,d. Furosemide,e. iv ns 0.9%,,,,,,ans. the key is b. iv calcium gluconate. [iv calcium gluconate is given to protect the heart from lethal arrhythmia or cardiac arrest from high potassium level and used to buy time while definitive management is being taken. actually calcium gluconate don’t lower the potassium level that much but protect the heart from arrhythmia]. 227. a 32 yo woman suffers an episode of severe occipital headache with vomiting and loss of ,,,,
226,227. a 32 yo woman suffers an episode of severe occipital headache with vomiting and loss of consciousness. she is brought to the hospital where she is found to be conscious and completely alert. exam: normal pulse & bp. no abnormal neurological signs. what is the next step in management? ,a. admission for observation,b. ct brain,c. mri head,d. Reassurance and discharge,e. xr skull,,,,,,ans. the key is b. ct brain. [basilar migraine can cause severe headache and loc. but there occurs no neurological deficit and on recovering from unconsciousness becomes completely alert. but to diagnose basilar migraine there should at least history of two migraine attacks with aura. as here diagnostic criteria of basilar migraine is not fulfilled we can not discharge the patient without neuroimaging like ct or mri]. 228. a 25 yo woman was brought to the ed by her boyfriend. she has many superficial lacerations on ,,,,
227,228. a 25 yo woman was brought to the ed by her boyfriend. she has many superficial lacerations on her forearm. she is so distressed and constantly says her boyfriend is going to end the relationship. she denies trying to end her life. what is the most likely dx? ,a. acute psychosis,b. severe depression,c. psychotic depression,d. Borderline personality disorder,e. schizophrenia,,,,,,ans. the key is d. borderline personality disorder. [ borderline personality disorder: act impulsively and develop intense but short-lived emotional attachment to others. they are usually attention seekers but not suicidal]. 229. a young woman was brought to the hospital. on exam she has low temperature and tremor. ,,,,
228,"229. a young woman was brought to the hospital. on exam she has low temperature and tremor. she says when she closes her eyes, she can see colors. what drug has been used? ",a. amphetamines,b. lsd,c. cocaine,d. Heroine,e. ecstasy,,,,,,ans. the key is b. lsd. 230. a lady comes in severe liver disease and hematemesis. her inr is >10. what should she be given? ,,,,
229,230. a lady comes in severe liver disease and hematemesis. her inr is >10. what should she be given? ,a. ffp,b. steroids,c. whole blood,d. IV fluids,e. vit k,,,,,,"ans. the key is a. ffp. 231. after eating a cookie at a garden party, a child began to cough and went blue. the mother also ",,,,
230,"231. after eating a cookie at a garden party, a child began to cough and went blue. the mother also noticed that there were swollen patches on the skin. what is the initial management? ",a. otc antihistamine,b. oxygen,c. bronchodilators,d. Epinephrine IM,e. nebulized epinephrine,,,,,,ans. the key is d. epinephrine im [anaphylaxis with partially blocked airway]. 232. a 63 yo female is noted to have left pupil irresponsive to light and is dilated. what is the most ,,,,
231,232. a 63 yo female is noted to have left pupil irresponsive to light and is dilated. what is the most .probably dx? ,a. pontine hemorrhage,b. subdural hemorrhage,c. cerebellar hemorrhage,d. Extradural hemorrhage,e. subarachnoid hemorrhage,,,,,,ans. the key is d. extradural hemorrhage. this is a wrong key! correct key is b. subdural hemorrhage. 233. a 28yo business executive presents at the gp asking for some help because she has been arguing ,,,,
232,"233. a 28yo business executive presents at the gp asking for some help because she has been arguing with her boyfriend frequently. she is worried about her weight, and she thinks she may be fat. she has been on a diet and lost 7 kgs in the last 2 months on purpose. she is eating less. she used to do a lot of exercise. now she says she’s feeling down, has some insomnia and feels tired and without energy. she has not showed up at work. she is worried because recently she got a loan to buy a luxury car. she can’t be fired. she complains about her low mood. she thinks this is weird because she used to be extremely productive. she used to work showing an excellent performance at the office. she even received compliments from her boss. how, she says her boyfriend is angry because her apartment is a chaos. usually she spends a lot of time cleaning it, even upto 3 am. she liked it to be perfect, but not it’s a mess. on exam: bmi=23, no other signs. what is the most probably dx? ",a. anorexia nervosa,b. bipolar disease,c. binge eating disorder,d. Hyperthyroidism,e. schizophrenia,,,,,,ans. the key is b. bipolar disorder. [now she is depressed but before hypomanic which makes the likely dx of bipolar disorder]. 234. a woman brought her husband saying she wants the ‘thing’ on his forehead removed. the ,,,,
233,234. a woman brought her husband saying she wants the ‘thing’ on his forehead removed. the husband is refusing tx saying it improves his thinking. what is the most appropriate next step? ,a. assess his mental capacity to refuse tx,b. remove lesion,c. refer to ed,d. Mini-mental state exam,e. refuse surgery and send pt back,,,,,,ans. the key is a. assess his mental capacity to refuse treatment. 235. a 37 yo man who has many convictions and has been imprisoned many times has a hx of many ,,,,
234,235. a 37 yo man who has many convictions and has been imprisoned many times has a hx of many unsuccessful relationships. he has 2 boys but doesn’t contact them. what is the most probable dx? ,a. borderline personality disorder,b. schizophrenia,c. avoidant personality disorder,d. Histrionic personality disorder,e. antisocial behavior disorder,,,,,,"ans. ans. the key is e. antisocial behavior disorder. [antisocial personality disorder is a particularly challenging type of personality disorder, characterised by impulsive, irresponsible and often criminal behavior]. 236. a 60 yo man has a pathological rib fx. he also complains of recurrent infection. bma is done. ",,,,
235,236. a 60 yo man has a pathological rib fx. he also complains of recurrent infection. bma is done. labs: ca2+ = 3.9mmol/l and alp = 127u/l. what type of cell would be found in abdundance in the marrow smear? ,a. plasma cell,b. myeloid cell,c. bence-jones protein,d. Megakaryocytes,e. reticulocytes,,,,,,"q. 1. what is the key. q. 2. what is the diagnosis? q. 3. what are the points in favour of diagnosis? ans. 1. the key is a. plasma cell. ans. 2. the diagnosis of multiple myeloma. ans. 3. points in favour: i) age 60 yrs ii) pathological rib fracture (from metastases) iii) recurrent infection (due to  b cell dysfunction (manifested as hypogammaglobulinemia), numerical and functional abnormalities of t cells, and dysfunction of natural killer cells), iv) raised calcium level. 237. a child presents with blue marks on the sclera, short stature and heart murmur. what is the dx? ",,,,
236,"237. a child presents with blue marks on the sclera, short stature and heart murmur. what is the dx? ",a. osteogenesis imperfect,b. hypopituitarism,c. vsd,d. Achondrogenesis,e. dwarfism,,,,,,"ans. the key is a. osteogenesis imperfecta. 238. a 5month child can’t speak but makes sounds. she can hold things with palm, not fingers. can’t ",,,,
237,"238. a 5month child can’t speak but makes sounds. she can hold things with palm, not fingers. can’t sit independently but can hold her hand and sit when propped up against pillows. how’s the childs development? ",a. normal,b. delayed speech,c. delayed sitting,d. Delayed motor development,,,,,,,ans. the key is a. normal 239. a 27 yo woman has hit her neck in an rta without complains of tingling or motor loss. what is ,,,,
238,239. a 27 yo woman has hit her neck in an rta without complains of tingling or motor loss. what is the next most appropriate inv? ,a. mri,b. xr,c. ct cervical,d. Diagonal XR,,,,,,,"ans. the key is b. x-ray. [as there is no neurological deficit we can exclude any fracture by x-ray first]. [diagonal x ray means ,oblique view of cervical spine. by this view we can assess facet joint arthopathy. this doesn't related to rta]. 240. a young female who has many superficial lacerations was brought into the ed by her boyfriend ",,,,
239,240. a young female who has many superficial lacerations was brought into the ed by her boyfriend for superficially lashing her upper arm. she is adamant and screaming that she is not suicidal but scared her boyfriend wants to leave her. what is the dx? ,a. acute psychosis,b. severe depression,c. obsessive,d. Bipolar,e. borderline personality,f. schizophrenia,,,,,"ans. the key is acute psychosis. probably this is wrong key! correct key should be e. borderline personality disorder. [borderline personality disorder (bpd), also known as emotionally unstable personality disorder, is a long term pattern of abnormal behavior characterized by unstable relationships with other people, unstable sense of self, and unstable emotions.[3][4] there is often an extreme fear of abandonment, frequent dangerous behavior, a feeling of emptiness, and self-harm]. 241. a 22yo woman was brought by her boyfriend with multiple superficial lacerations. there are ",,,,
